split	question_id	YN_Acc	F_Strict	F_Lenient	F_MRR	L_P	L_R	L_F1	YN_macroF1	YN_F1_yes	YN_F1_no
13B1_golden_answers	65f7741fc4010b4d78000027	0.0	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA
13B1_golden_answers	67cc973e81b1027333000011	0.0	0.0	0.0	0.0	1.0	0.4	0.5714285714285715	NA	NA	NA
13B1_golden_answers	66301d1d187cba990d000026	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B1_golden_answers	67d3518718b1e36f2e000008	0.0	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA
13B1_golden_answers	662154f0b9f8b89d7e000009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B1_golden_answers	67c847f581b1027333000003	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B1_golden_answers	67d7fe2618b1e36f2e000044	0.0	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA
13B1_golden_answers	67d7503018b1e36f2e00003e	0.0	0.0	0.0	0.0	0.375	0.3333333333333333	0.35294117647058826	NA	NA	NA
13B1_golden_answers	67d34fb318b1e36f2e000007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B1_golden_answers	662fc277187cba990d000013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	0.0
13B1_golden_answers	67cddce881b102733300001c	0.0	0.0	0.0	0.0	0.3333333333333333	0.5	0.4	NA	NA	NA
13B1_golden_answers	67d43cd218b1e36f2e000011	0.0	0.0	0.0	0.0	0.5714285714285714	0.23529411764705882	0.3333333333333333	NA	NA	NA
13B1_golden_answers	67d9f6a418b1e36f2e000051	0.0	0.0	0.0	0.0	1.0	0.5	0.6666666666666666	NA	NA	NA
13B1_golden_answers	67d7531018b1e36f2e000041	0.0	0.0	0.0	0.0	1.0	1.0	1.0	NA	NA	NA
13B1_golden_answers	660999a0fdcbea915f00001a	0.0	0.0	0.0	0.0	0.5	0.6666666666666666	0.5714285714285715	NA	NA	NA
13B1_golden_answers	67c7708481b1027333000002	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	NA	1.0
13B1_golden_answers	67d7201b18b1e36f2e00002c	0.0	0.0	0.0	0.0	0.25	0.0625	0.1	NA	NA	NA
13B1_golden_answers	67da148418b1e36f2e000054	0.0	0.0	0.0	0.0	1.0	1.0	1.0	NA	NA	NA
